Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.167        33426          80                  -                                       
192.168.43.153      103.27.9.167        33427          80                  -                                       
192.168.43.153      103.27.9.167        33428          80                  -                                       
192.168.43.153      103.27.9.167        33429          80                  -                                       
192.168.43.153      103.27.9.167        33430          80                  -                                       
103.27.9.167        192.168.43.153      80             33426               -                                       
192.168.43.153      103.27.9.167        33426          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /modules/system/defaults.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33427               -                                       
192.168.43.153      103.27.9.167        33427          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /modules/system/system.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33430               -                                       
192.168.43.153      103.27.9.167        33430          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/cck/theme/content-module.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33428               -                                       
192.168.43.153      103.27.9.167        33428          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /modules/system/system-menus.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33429               -                                       
192.168.43.153      103.27.9.167        33429          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /modules/user/user.css?5 HTTP/1.1   
103.27.9.167        192.168.43.153      80             33425               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33425          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/ctools/css/ctools.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33426               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33426          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/date/date.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33427               -                                       
103.27.9.167        192.168.43.153      80             33427               -                                       
192.168.43.153      103.27.9.167        33427          80                  -                                       
103.27.9.167        192.168.43.153      80             33427               -                                       
192.168.43.153      103.27.9.167        33427          80                  -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33427          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/date/date_popup/themes/datepicker.1.7.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33430               -                                       
103.27.9.167        192.168.43.153      80             33430               -                                       
192.168.43.153      103.27.9.167        33430          80                  -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33430          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/date/date_popup/themes/jquery.timeentry.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33428               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33428          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/dhtml_menu/dhtml_menu.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33429               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33429          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/filefield/filefield.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/panels/css/panels.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33426               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33426          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /misc/farbtastic/farbtastic.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33427               -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        33427          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/calendar/calendar.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/cck/modules/fieldgroup/fieldgroup.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/modules/views/css/views.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/style.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/typography.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      80             33427               -                                       
103.27.9.167        192.168.43.153      80             33427               -                                       
192.168.43.153      103.27.9.167        33427          80                  -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
192.168.43.153      103.27.9.167        -              -                   GET /sites/default/themes/fusion/fusion_core/css/superfish-navbar.css?5 HTTP/1.1 
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/css)             
